date,model,GraphicsFillPercentage,TopSheetFillPercentage,Columns,Rows,Sheets
2020-12-07,NPK,62.5,20.833333333333332,6,2,4
2020-12-07,TLAS,80.8081,8.080808080808081,5,9,11
2020-12-07,NPAL,83.33333333333333,16.666666666666668,6,2,6
2020-12-07,NPAS,81.94444444444444,16.666666666666668,6,2,6
2020-12-07,NPAL,65,16.666666666666668,6,2,5
2020-12-07,TLAL,83.86363636363636,8.409090909090908,5,8,11
2020-12-07,TLAL,81.36363636363636,8.181818181818182,5,8,11
2020-12-07,TLK,54.166666666666664,18.333333333333332,6,10,4
2020-12-07,TLAL,85.68181818181819,8.636363636363637,5,8,11
2020-12-07,NPAS,61.666666666666664,16.666666666666668,6,2,5
2020-12-07,NPAL,61.666666666666664,16.666666666666668,6,2,5
2020-12-07,TLAS,82.02020202020202,8.282828282828282,5,9,11
2020-12-07,NPAL,87.82051282051282,7.6923076923076925,6,2,13
2020-12-07,NPK,50,50,6,2,2
2020-12-07,TLAL,85.45454545454545,8.636363636363637,5,8,11
2020-12-07,TLAL,84.375,7.708333333333333,5,8,12
2020-12-07,NPAS,90.27777777777777,8.333333333333334,6,2,12
2020-12-07,NPAL,73.80952380952381,13.095238095238095,6,2,7
2020-12-07,TLAL,82.72727272727273,8.409090909090908,5,8,11
2020-12-06,TLAS,80,8.080808080808081,5,9,11
2020-12-06,TLK,61.25,20.416666666666668,6,10,4
2020-12-06,TLAL,85.45454545454545,8.636363636363637,5,8,11
2020-12-06,TLAL,82.04545454545455,8.409090909090908,5,8,11
2020-12-06,TLAS,82.62626262626263,8.282828282828282,5,9,11
2020-12-06,TLAL,85,8.636363636363637,5,8,11
2020-12-06,TLK,52.5,17.5,6,10,4
2020-12-06,TLAL,87.95454545454545,8.863636363636363,5,8,11
